group age result
Boy 8 26
Boy 8 21.5
Boy 8 23
Boy 8 25.5
Boy 8 20
Boy 8 24.5
Boy 8 22
Boy 8 24
Boy 8 23
Boy 8 27.5
Boy 8 23
Boy 8 21.5
Boy 8 17
Boy 8 22.5
Boy 8 23
Boy 8 22
Boy 10 25
Boy 10 21.5
Boy 10 23
Boy 10 25.5
Boy 10 20
Boy 10 24.5
Boy 10 22
Boy 10 24
Boy 10 23
Boy 10 27.5
Boy 10 23
Boy 10 21.5
Boy 10 17
Boy 10 22.5
Boy 10 23
Boy 10 22
Boy 12 25
Boy 12 22.5
Boy 12 22.5
Boy 12 27.5
Boy 12 25.5
Boy 12 22
Boy 12 21.5
Boy 12 20.5
Boy 12 28
Boy 12 23
Boy 12 23.5
Boy 12 24.5
Boy 12 25.5
Boy 12 24.5
Boy 12 21.5
Boy 12 23.5
Boy 14 31
Boy 14 26.5
Boy 14 27.5
Boy 14 27
Boy 14 26
Boy 14 28.5
Boy 14 26.5
Boy 14 25.5
Boy 14 26
Boy 14 31.5
Boy 14 25
Boy 14 28
Boy 14 29.5
Boy 14 26
Boy 14 30
Boy 14 25
Girl 8 21
Girl 8 21
Girl 8 20.5
Girl 8 23.5
Girl 8 21.5
Girl 8 20
Girl 8 21.5
Girl 8 23
Girl 8 20
Girl 8 16.5
Girl 8 24.5
Girl 10 20
Girl 10 21.5
Girl 10 24
Girl 10 24.5
Girl 10 23
Girl 10 21
Girl 10 22.5
Girl 10 23
Girl 10 21
Girl 10 19
Girl 10 25
Girl 12 21.5
Girl 12 24
Girl 12 24.5
Girl 12 25
Girl 12 22.5
Girl 12 21
Girl 12 23
Girl 12 23.5
Girl 12 22
Girl 12 19
Girl 12 18
Girl 14 23
Girl 14 25.5
Girl 14 26
Girl 14 26.5
Girl 14 23.5
Girl 14 22.5
Girl 14 25
Girl 14 24
Girl 14 21.5
Girl 14 19.5
Girl 14 28
