group age result
Boy age8 26
Boy age8 21.5
Boy age8 23
Boy age8 25.5
Boy age8 20
Boy age8 24.5
Boy age8 22
Boy age8 24
Boy age8 23
Boy age8 27.5
Boy age8 23
Boy age8 21.5
Boy age8 17
Boy age8 22.5
Boy age8 23
Boy age8 22
Boy age10 25
Boy age10 21.5
Boy age10 23
Boy age10 25.5
Boy age10 20
Boy age10 24.5
Boy age10 22
Boy age10 24
Boy age10 23
Boy age10 27.5
Boy age10 23
Boy age10 21.5
Boy age10 17
Boy age10 22.5
Boy age10 23
Boy age10 22
Boy age12 25
Boy age12 22.5
Boy age12 22.5
Boy age12 27.5
Boy age12 25.5
Boy age12 22
Boy age12 21.5
Boy age12 20.5
Boy age12 28
Boy age12 23
Boy age12 23.5
Boy age12 24.5
Boy age12 25.5
Boy age12 24.5
Boy age12 21.5
Boy age12 23.5
Boy age14 31
Boy age14 26.5
Boy age14 27.5
Boy age14 27
Boy age14 26
Boy age14 28.5
Boy age14 26.5
Boy age14 25.5
Boy age14 26
Boy age14 31.5
Boy age14 25
Boy age14 28
Boy age14 29.5
Boy age14 26
Boy age14 30
Boy age14 25
Girl age8 21
Girl age8 21
Girl age8 20.5
Girl age8 23.5
Girl age8 21.5
Girl age8 20
Girl age8 21.5
Girl age8 23
Girl age8 20
Girl age8 16.5
Girl age8 24.5
Girl age10 20
Girl age10 21.5
Girl age10 24
Girl age10 24.5
Girl age10 23
Girl age10 21
Girl age10 22.5
Girl age10 23
Girl age10 21
Girl age10 19
Girl age10 25
Girl age12 21.5
Girl age12 24
Girl age12 24.5
Girl age12 25
Girl age12 22.5
Girl age12 21
Girl age12 23
Girl age12 23.5
Girl age12 22
Girl age12 19
Girl age12 18
Girl age14 23
Girl age14 25.5
Girl age14 26
Girl age14 26.5
Girl age14 23.5
Girl age14 22.5
Girl age14 25
Girl age14 24
Girl age14 21.5
Girl age14 19.5
Girl age14 28
