gdp,gdp_sa
82997.7 ,89112.7 
90411.8 ,90737.9 
94229.2 ,93948.3 
101347.1 ,95187.0 
91567.7 ,98370.1 
100276.0 ,100083.1 
102412.4 ,102204.9 
110568.8 ,104166.9 
98945.8 ,105872.2 
107529.8 ,106963.6 
107095.2 ,106991.3 
114593.2 ,108336.9 
103211.7 ,110175.7 
113863.9 ,112969.8 
115026.7 ,115058.2 
123161.9 ,117060.5 
112772.8 ,120132.1 
123071.7 ,122111.5 
124043.0 ,124087.8 
135311.9 ,128868.0 
123105.2 ,131381.9 
134693.2 ,133678.8 
136465.5 ,136220.8 
145160.0 ,138142.5 
132132.5 ,141217.6 
144395.4 ,143293.3 
146014.7 ,145555.2 
155643.9 ,148120.3 
139408.0 ,149086.5 
154630.6 ,153388.2 
155632.0 ,154859.1 
161858.3 ,154195.0 
134483.0 ,143458.7 
143315.9 ,141995.6 
144597.5 ,143802.8 
154190.4 ,147329.6 
143085.9 ,151789.1 
159428.8 ,157981.5 
161775.8 ,161655.3 
174167.5 ,167032.1 
161106.9 ,170347.5 
174123.3 ,172512.7 
176763.9 ,176831.7 
182634.0 ,174936.3 
167931.1 ,177444.3 
181326.1 ,179785.9 
181927.4 ,182279.4 
191044.4 ,182719.3 
179041.6 ,189042.3 
194030.2 ,192481.2 
194267.2 ,195116.0 
206529.5 ,197228.9 
185318.0 ,195885.7 
197580.1 ,196095.5 
198061.8 ,199152.7 
214598.4 ,204424.3 
194923.1 ,206124.1 
209329.2 ,207738.7 
207578.0 ,208545.8 
220475.0 ,209896.7 
200216.6 ,211629.0 
216347.1 ,214774.5 
216983.1 ,218100.1 
231694.1 ,220737.3 
212469.3 ,224279.6 
227415.6 ,225743.9 
227901.3 ,229077.3 
242262.8 ,230948.1 
221931.1 ,234283.9 
239458.0 ,237638.2 
239125.1 ,240308.6 
256000.3 ,244283.8 
234178.9 ,246650.6 
249890.2 ,247508.6 
246962.3 ,247912.6 
247467.5 ,236427.0 
224359.5 ,236682.4 
244708.4 ,242586.5 
249519.6 ,250953.7 
263037.6 ,251402.4 
243420.6 ,256666.6 
262970.4 ,260277.5 
260422.2 ,261926.2 
275298.1 ,263240.9 
