CLASS,survived,sex,age
1st,Yes,female,Adult
1st,Yes,male,Child
1st,No,female,Child
1st,No,male,Adult
1st,No,female,Adult
1st,Yes,male,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,Yes,male,Adult
1st,No,male,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,Yes,male,Adult
1st,Yes,female,Adult
1st,Yes,male,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,Yes,male,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,Yes,male,Adult
1st,No,male,Adult
1st,Yes,male,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,Yes,male,Adult
1st,No,male,Adult
1st,No,male,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,No,male,Adult
1st,Yes,male,Adult
1st,Yes,female,Adult
1st,Yes,male,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,No,male,Adult
1st,No,male,Adult
1st,Yes,male,Child
1st,Yes,female,Adult
1st,Yes,male,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,Yes,male,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,Yes,male,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,Yes,male,Adult
1st,Yes,male,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,Yes,male,Adult
1st,Yes,female,Adult
1st,Yes,male,Adult
1st,Yes,male,Child
1st,Yes,female,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,Yes,male,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,No,female,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,Yes,male,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,Yes,male,Adult
1st,Yes,male,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,Yes,male,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,Yes,male,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,Yes,male,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,Yes,male,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,Yes,male,Adult
1st,Yes,female,Adult
1st,Yes,male,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,Yes,male,Adult
1st,Yes,male,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,No,male,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,Yes,male,Adult
1st,Yes,male,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,No,female,Adult
1st,Yes,male,Adult
1st,No,male,Adult
1st,No,male,Adult
1st,No,male,Adult
1st,No,male,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,Yes,male,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,Yes,male,Adult
1st,No,male,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,Yes,male,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,No,male,Adult
1st,Yes,male,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,Yes,male,Adult
1st,No,male,Adult
1st,No,male,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,Yes,male,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,No,male,Adult
1st,No,male,Adult
1st,No,male,Adult
1st,No,male,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,Yes,male,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,Yes,male,Adult
1st,No,male,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,Yes,male,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,Yes,male,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,Yes,male,Adult
1st,Yes,female,Adult
1st,Yes,male,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,Yes,male,Adult
1st,Yes,female,Adult
1st,Yes,male,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,Yes,male,Adult
1st,Yes,male,Adult
1st,No,male,Adult
1st,No,male,Adult
1st,No,male,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,Yes,male,Adult
1st,Yes,female,Adult
1st,Yes,male,Child
1st,Yes,male,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,Yes,male,Adult
1st,No,male,Adult
1st,Yes,male,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,No,female,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,Yes,male,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,Yes,male,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,Yes,male,Adult
1st,No,male,Adult
1st,No,male,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,No,male,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,Yes,female,Adult
1st,No,male,Adult
1st,Yes,male,Adult
1st,No,male,Adult
1st,Yes,female,Adult
1st,Yes,male,Adult
1st,No,male,Adult
1st,Yes,female,Adult
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,Yes,female,Adult
